Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Delycia Perfume Beauty 60ml,Perfumes & Body Spray,171,8961100040650,,0,0,550.0,,1,0,0,0,1,,,,,,
Delycia Perfume Beauty 35ml,Perfumes & Body Spray,172,8961100040643,,0,0,380.0,,1,0,0,0,1,,,,,,
Delycia Perfume Beauty 12ml,Perfumes & Body Spray,173,8961100040636,,0,0,240.0,,1,0,0,0,1,,,,,,
Bio Zip Glass Cleaner 500ml,,174,4812937850940,,0,0,400.0,,1,0,0,0,1,,,,,,
Perfect Glass Cleaner 550ml,,175,8697566649655,,0,0,420.0,,1,0,0,0,1,,,,,,
Rose Facial Water spray,,176,7340068105921,,0,0,150.0,,1,0,0,0,1,,,,,,
Havok Body Spray Gold 200ml,,177,3700082500364,,0,0,670.0,,1,0,0,0,1,,,,,,
Havok Body Spray Spray 200ml,,178,3700082500357,,0,0,670.0,,1,0,0,0,1,,,,,,
FOGG Body Spray Marco 120ml,,179,8908001158305,,0,0,750.0,,1,0,0,0,1,,,,,,
FOGG Body Spray Napoleon 120ml,,180,8908001158244,,0,0,750.0,,1,0,0,0,1,,,,,,
FOGG Body Spray Imperial 120ml,,181,8908001158480,,0,0,750.0,,1,0,0,0,1,,,,,,
FOGG Body Spray Monarch 120ml,,182,8908001158954,,0,0,750.0,,1,0,0,0,1,,,,,,
FOGG Body Spray Royal 120ml,,183,8908001158312,,0,0,750.0,,1,0,0,0,1,,,,,,
Shalis Body Spray Men 175ml,,184,3700082500425,,0,0,620.0,,1,0,0,0,1,,,,,,
Shalis Body Spray Women 175ml,,185,3700082500395,,0,0,60.0,,1,0,0,0,1,,,,,,
Creation Lamis Every One 200ml,,186,5414666008839,,0,0,600.0,,1,0,0,0,1,,,,,,
Creation Lamis Pure Black 200ml,,187,5414666008822,,0,0,600.0,,1,0,0,0,1,,,,,,
Blue Lady Body Spray 200ml,,188,614514060018,,0,0,660.0,,1,0,0,0,1,,,,,,
Blue For Men Body Spray 200ml,,189,614514060025,,0,0,660.0,,1,0,0,0,1,,,,,,
Rasasi Emotion Men 200ml,,190,614514060087,,0,0,660.0,,1,0,0,0,1,,,,,,
Rasasi Body Spray CHASTITY Women 200ml,,191,614514060032,,0,0,660.0,,1,0,0,0,1,,,,,,
Rasasi Body Spray ROMANCE Women 200ml,,192,614514060056,,0,0,660.0,,1,0,0,0,1,,,,,,
Rasasi Body Spray SECRET Women 200ml,,193,614514060209,,0,0,660.0,,1,0,0,0,1,,,,,,
Rasasi Body Spray CHASTITY Men 200ml,,194,614514060049,,0,0,660.0,,1,0,0,0,1,,,,,,
LOMANI Do it DEODORANT Spray 250ml,,195,3610400035372,,0,0,590.0,,1,0,0,0,1,,,,,,
LOMANI El Paso DEODORANT Spray 250ml,,196,3610400035389,,0,0,590.0,,1,0,0,0,1,,,,,,
LOMANI CIGAR DEODORANT Spray 250ml,,197,3610400035402,,0,0,590.0,,1,0,0,0,1,,,,,,
LOMANI NETWORK DEODORANT Spray 250ml,,198,3610400035396,,0,0,590.0,,1,0,0,0,1,,,,,,
ARMAF Body Spray Signature 200ml,,199,6294015105513,,0,0,630.0,,1,0,0,0,1,,,,,,
ARMAF Body Spray TAG-HER 200ml,,200,6085010041599,,0,0,630.0,,1,0,0,0,1,,,,,,
ARMAF Body Spray HIGH STREET 200ml,,201,6085010092515,,0,0,630.0,,1,0,0,0,1,,,,,,
ULRIC DE VARENS DEODORANT SPRAY UDY For Men 150ml,,202,3326240000011,,0,0,630.0,,1,0,0,0,1,,,,,,
Just Call Me DEODORANT SPRAY Maxi 200ml,,203,3700082500104,,0,0,640.0,,1,0,0,0,1,,,,,,
Morena Noir 200ml ,,204,3571700295081,,0,0,490.0,,1,0,0,0,1,,,,,,
Rasasi Body Spray Knowledge Men 200ml,,205,614514060285,,0,0,660.0,,1,0,0,0,1,,,,,,
Golden Pearl M&U Love Story 120ml,,206,8964003015190,,0,0,400.0,,1,0,0,0,1,,,,,,
Marhaba Chuarqa 240ml,,207,8964000057667,,0,0,80.0,,1,0,0,0,1,,,,,,
Marhaba ARQ SHIRIN 240ml,,208,8964000057650,,0,0,90.0,,1,0,0,0,1,,,,,,
Marhaba ARQ-E-GULAB 50ml,,209,8964000057278,,0,0,45.0,,1,0,0,0,1,,,,,,
Qarshi ARQ SHIRIN 240ml,,210,855434001235,,0,0,120.0,,1,0,0,0,1,,,,,,
Marhaba ARQ-E-GULAB 240ml,,211,8964000057292,,0,0,90.0,,1,0,0,0,1,,,,,,
Qarshi CHUARQA 240ml,,212,855434003147,,0,0,90.0,,1,0,0,0,1,,,,,,
Qarshi ARQ  GAOZUBAN 240ml,,213,855434003130,,0,0,80.0,,1,0,0,0,1,,,,,,
Hamdard Naunehal 175ml,,214,8964000121023,,0,0,70.0,,1,0,0,0,1,,,,,,
Qarshi GhUTTI 60ml,,215,855434001884,,0,0,90.0,,1,0,0,0,1,,,,,,
